,populacao,pop_ate9,pop_de10a14,pop_de15a19,pop_de20a24,pop_de25a34,pop_de35a49,pop_de50a59,pop_mais_de60,pop_alvo,domicilios_a1,domicilios_a2,domicilios_b1,domicilios_b2,domicilios_c1,domicilios_c2,domicilios_d,domicilios_e,domicilios_alvo,renda_media,faturamento,potencial
0,11676,1027,483,688,800,1675,2300,1784,2919,3975,0,145,715,1242,1093,758,92,304,2102,2501.0,932515,Médio
1,27564,5131,2188,2697,2630,4810,5308,2403,2397,10118,0,0,82,506,2040,2490,827,2506,588,931.0,588833,Baixo
2,9003,883,399,597,762,1755,2076,1112,1419,3831,0,96,404,652,644,522,77,254,1152,2391.0,874200,Baixo
3,9606,1072,538,660,685,1317,2007,1341,1986,3324,114,178,393,517,945,584,137,286,1202,3727.0,912226,Médio
4,57222,7677,3774,4892,4600,8660,12272,7157,8190,20932,0,0,1089,2821,5110,5422,1073,3261,3910,1380.0,553020,Médio
5,40476,3528,1703,2564,2753,5993,8071,6022,9842,14064,290,1245,3647,3321,3289,2419,304,1059,8503,3443.0,1204467,Alto
6,24855,2427,1227,1777,1804,3730,5573,3556,4761,9303,355,759,1771,1863,1902,1155,326,424,4748,1535.0,1092081,Baixo
7,12864,1532,670,963,1076,2083,2829,1598,2113,4912,0,82,491,750,1313,1177,172,352,1323,1962.0,808554,Baixo
8,249987,32651,15949,20926,20146,37750,53090,31246,38229,90840,0,496,5246,13274,24363,22447,4564,11109,19016,1550.0,35465,Alto
9,139761,13038,5225,7432,8627,21914,32089,21058,30378,54003,13408,11668,14820,5205,3437,1841,0,3897,45101,18084.0,2915612,Alto
10,3678,384,205,306,297,520,824,501,641,1344,0,0,92,220,360,225,76,270,312,1479.0,846531,Baixo
11,14446,2013,966,1283,1109,2137,3210,1726,2002,5347,0,0,57,310,1243,1181,368,1711,367,895.0,746904,Baixo
12,25789,3340,1524,1848,2213,4614,5612,2905,3733,10226,0,0,250,1250,2460,2430,414,1447,1500,1294.0,662520,Baixo
13,44941,4477,2275,3191,3198,6325,9378,6333,9764,15703,0,353,1897,3213,4450,3726,521,1630,5463,2048.0,856901,Alto
14,19237,1795,854,1292,1347,2814,3917,2698,4520,6731,0,0,957,1413,2519,1318,187,692,2370,1944.0,851362,Médio
15,85229,6278,2608,4410,5911,14697,18262,12026,21037,32959,3669,5165,11669,6106,5289,3009,371,1853,26609,8316.0,2211985,Alto
16,60893,6812,3350,4778,4801,9037,12955,7746,11414,21992,0,494,1716,3817,6026,4216,610,3385,6027,1874.0,755073,Alto
17,43591,3815,1905,2580,2874,6564,9626,6261,9966,16190,146,690,3812,3957,3659,1882,233,1575,8605,2963.0,1182272,Alto
18,11325,1256,588,817,811,1775,2533,1456,2089,4308,0,71,473,903,1161,712,120,558,1447,2022.0,852714,Baixo
19,21055,3368,1441,1771,2131,3565,4362,1927,2490,7927,0,0,115,548,1956,2022,424,1810,663,1037.0,635348,Baixo
20,2025,282,120,155,175,460,452,207,174,912,4,52,144,104,132,132,35,92,304,2929.0,876113,Baixo
21,10441,1180,559,743,717,1608,2227,1294,2113,3835,0,111,652,749,958,681,106,419,1512,2377.0,878140,Baixo
22,1403,208,125,166,103,125,570,72,34,695,0,114,168,88,24,3,0,2,370,5876.0,935061,Médio
23,667603,122578,55935,62342,60567,86116,105316,83341,91408,191432,0,1389,11747,21237,33111,25779,4956,12944,34373,1856.0,69645,Alto
24,35428,4212,1958,2634,2594,5242,7111,4647,7030,12353,0,65,1367,2356,3513,3015,513,1278,3788,1796.0,796395,Médio
25,24737,1926,858,1295,1659,4173,5182,3284,6360,9355,345,845,2599,2474,2581,1265,162,771,6263,4283.0,1073403,Alto
26,12910,1773,805,1018,999,1985,2526,1516,2288,4511,0,18,261,640,1281,1140,229,703,919,1535.0,791170,Baixo
27,16597,2079,1011,1299,1273,2411,3502,1998,3024,5913,0,0,335,988,1755,1384,329,794,1323,1499.0,774667,Baixo
28,42277,2685,1274,2031,2895,7217,9362,6334,10479,16579,0,343,3014,5061,6387,3628,693,1684,8418,2186.0,825608,Alto
